"","err_1paso","err_2paso","err_3paso","err_4paso","err_5paso","err_6paso","err_7paso","err_8paso","err_9paso","err_10paso","err_11paso","err_12paso"
"Simul_1",0.00194301983918166,0.00899254995643674,0.0151062389940048,0.0186599259515693,0.0225080195490617,0.0254179301625825,0.0271732327115365,0.0291555356694391,0.0316386930561183,0.0342498561391665,0.0366526659805438,0.0390677886268899
"Simul_2",0.00905505222151337,0.0144673061415053,0.017195823386917,0.0207077751159521,0.0233793501976837,0.0249257907694685,0.0268491720442061,0.029385698107109,0.0320696273789172,0.034512683524909,0.0369546515259673,0.0400323242579373
"Simul_3",0.00183848074486814,0.00130541978716129,0.00316349867405523,0.00485926042961761,0.00581160401540703,0.00813422835997876,0.0116702217926716,0.015245558682633,0.0182573840116501,0.0211238660061533,0.0246764153640902,0.0292005491359625
"Simul_4",0.00323564685584632,0.00234166430644283,0.00261320041076055,0.00290888513447442,0.00532550618968425,0.00924281754617845,0.0130697486459761,0.016205813260279,0.0191654806940495,0.0228568561270633,0.0275523597632247,0.0327318429584821
"Simul_5",0.00668047951664796,0.0090797245889867,0.0103488374738398,0.0131800504521388,0.0171179992602231,0.0208950480220942,0.0239336192646311,0.0267439612500915,0.0302503794423944,0.0347910495081045,0.0398933149636408,0.0445226385638947
"Simul_6",0.00126481193863803,0.00262588011186976,0.00228637833433338,0.00510540007495843,0.00859506965617144,0.0115636411049589,0.0145696819592251,0.0186173420663968,0.0238792111251988,0.0295755686055515,0.0344801103594668,0.0385205180441532
"Simul_7",0.00114173460124434,0.00324173444457799,0.00787762241031203,0.0120318527354504,0.0152832858693358,0.0184065589146357,0.0225102370696907,0.0278256742127763,0.0335827444073252,0.0385294750758694,0.0425915709262587,0.0456571475618511
"Simul_8",0.00651585738202698,0.0119341626372061,0.0164142430837017,0.0197431912312157,0.0228522008446851,0.0269345405789901,0.0322458571301409,0.0380023692275696,0.0429220168926564,0.0469366311171261,0.0499371031555772,0.0521365529070205
"Simul_9",0.00367623121770766,0.00585429591406034,0.00758655616157853,0.00990634583443102,0.0141283640932872,0.0201852874304008,0.0266868991778843,0.0320295494693364,0.0362661517773382,0.039311139337107,0.0414486675438123,0.0432624674134163
"Simul_10",0.000665885258670507,0.00107298570708018,0.00296265850944314,0.0076360612187155,0.0142658395713504,0.0211462941366907,0.0265977858097019,0.0308319261899763,0.0337822240030958,0.035777645892612,0.0374539087913939,0.0390695296200628
"Simul_11",0.000142582615066722,0.00234042822936574,0.00751872229457055,0.0146107450343762,0.0217932381227816,0.0273303289071081,0.0315488459031355,0.0344108805513804,0.0362858512043282,0.0378511578584705,0.0393732948582073,0.0407237876692328
"Simul_12",0.00304574452669826,0.0089287066430136,0.0165718846903414,0.0240530327246608,0.0296176788896705,0.0337522458914743,0.0364619004740862,0.0381628946711125,0.039576317292722,0.0409747803102709,0.0422157819841987,0.043070798050314
"Simul_13",0.00665864249305859,0.013898711064949,0.0209204829002093,0.0259343356945014,0.0296432317124252,0.032004899223389,0.0334349129148193,0.0346720740122323,0.0359657310714659,0.0371230173318956,0.0378788982719368,0.0385266179102752
"Simul_14",0.0063180598018695,0.0111571047672986,0.014284892974045,0.0167399730270135,0.0182546083472062,0.0191520488807277,0.0201344279551238,0.0213677809262618,0.0225257918101441,0.0232419612741574,0.0238465662093946,NA
"Simul_15",0.00277152713149498,0.00321696036125346,0.00387044463191937,0.00414589551020132,0.00425628088865685,0.00488076282705578,0.00616595978619835,0.00744291003029632,0.00814197334610117,0.00873505113307043,NA,NA
"Simul_16",0.00162223705111053,0.00187040793076819,0.00239683593884346,0.00283694425802532,0.00260775207950481,0.00262639693679432,0.00312551542801286,0.00333214445333466,0.00359126836985962,NA,NA,NA
"Simul_17",0.000976658550714937,0.000953729115168552,0.000935853197610623,0.00201876051658824,0.00391905856626633,0.00546849405296979,0.0061598837850563,0.00672692072807368,NA,NA,NA,NA
"Simul_18",0.000911437055584052,0.00128779766502398,0.00115894483465476,0.00258403645934301,0.0039299371140738,0.0044239439375977,0.00487294562536427,NA,NA,NA,NA,NA
"Simul_19",0.000136100946319218,0.00221913300841206,0.0046379252153011,0.00636646582291695,0.00700360076185437,0.00751870544184948,NA,NA,NA,NA,NA,NA
"Simul_20",0.00288035069539472,0.00538792467892822,0.00702633774653363,0.00748247389414032,0.00787603765733394,NA,NA,NA,NA,NA,NA,NA
"Simul_21",0.00169210936096498,0.00206306266665351,0.00172165566956346,0.00154744293172886,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_22",0.000762821538674352,0.00255110801096583,0.00305430749118123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_23",0.00211359952590673,0.00206219888956571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simul_24",0.00190049658506464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
