;IPC;var_mom;var_yoy
ene-00;40.30149154;NA;NA
feb-00;41.22925113;2.3;NA
mar-00;41.93462315;1.71;NA
abr-00;42.35234322;1;NA
may-00;42.57311837;0.52;NA
jun-00;42.56487481;-0.02;NA
jul-00;42.54833884;-0.04;NA
ago-00;42.68263691;0.32;NA
sep-00;42.86444887;0.43;NA
oct-00;42.93004831;0.15;NA
nov-00;43.07103337;0.33;NA
dic-00;43.26926962;0.46;NA
ene-01;43.72396353;1.05;8.49
feb-01;44.55161382;1.89;8.06
mar-01;45.21152413;1.48;7.81
abr-01;45.7303377;1.15;7.98
may-01;45.92167058;0.42;7.87
jun-01;45.94018194;0.04;7.93
jul-01;45.99029243;0.11;8.09
ago-01;46.11015556;0.26;8.03
sep-01;46.28123902;0.37;7.97
oct-01;46.3669762;0.19;8.01
nov-01;46.42117008;0.12;7.78
dic-01;46.57779067;0.34;7.65
ene-02;46.94849943;0.8;7.37
feb-02;47.53844771;1.26;6.7
mar-02;47.8751771;0.71;5.89
abr-02;48.31323034;0.91;5.65
may-02;48.60250868;0.6;5.84
jun-02;48.81092896;0.43;6.25
jul-02;48.8219576;0.02;6.16
ago-02;48.86803356;0.09;5.98
sep-02;49.04406595;0.36;5.97
oct-02;49.31828113;0.56;6.37
nov-02;49.70209861;0.78;7.07
dic-02;49.83486803;0.27;6.99
ene-03;50.42;1.17;7.39
feb-03;50.98;1.11;7.24
mar-03;51.51;1.04;7.59
abr-03;52.1;1.15;7.84
may-03;52.36;0.5;7.73
jun-03;52.33;-0.06;7.21
jul-03;52.26;-0.13;7.04
ago-03;52.42;0.31;7.27
sep-03;52.53;0.21;7.11
oct-03;52.56;0.06;6.57
nov-03;52.75;0.36;6.13
dic-03;53.07;0.61;6.49
ene-04;53.54;0.89;6.19
feb-04;54.18;1.2;6.28
mar-04;54.71;0.98;6.21
abr-04;54.96;0.46;5.49
may-04;55.17;0.38;5.37
jun-04;55.51;0.62;6.08
jul-04;55.49;-0.04;6.18
ago-04;55.51;0.04;5.89
sep-04;55.67;0.29;5.98
oct-04;55.66;-0.02;5.9
nov-04;55.82;0.29;5.82
dic-04;55.99;0.3;5.5
ene-05;56.45;0.82;5.44
feb-05;57.02;1.01;5.24
mar-05;57.46;0.77;5.03
abr-05;57.72;0.45;5.02
may-05;57.95;0.4;5.04
jun-05;58.18;0.4;4.81
jul-05;58.21;0.05;4.9
ago-05;58.21;0;4.86
sep-05;58.46;0.43;5.01
oct-05;58.6;0.24;5.28
nov-05;58.66;0.1;5.09
dic-05;58.7;0.07;4.84
