"","","var_mom","var_yoy"
"1",40.3014915369495,NA,NA
"2",41.229251126314,2.3,NA
"3",41.934623152915,1.71,NA
"4",42.3523432190174,1,NA
"5",42.5731183672486,0.52,NA
"6",42.5648748107005,-0.02,NA
"7",42.5483388365578,-0.04,NA
"8",42.6826369127527,0.32,NA
"9",42.8644488665287,0.43,NA
"10",42.9300483114393,0.15,NA
"11",43.071033370846,0.33,NA
"12",43.2692696163728,0.46,NA
"13",43.7239635343257,1.05,8.49
"14",44.5516138196992,1.89,8.06
"15",45.2115241326694,1.48,7.81
"16",45.7303377038409,1.15,7.98
"17",45.9216705815218,0.42,7.87
"18",45.9401819379703,0.04,7.93
"19",45.9902924311617,0.11,8.09
"20",46.1101555582105,0.26,8.03
"21",46.2812390222198,0.37,7.97
"22",46.3669761984101,0.19,8.01
"23",46.4211700790535,0.12,7.78
"24",46.5777906733186,0.34,7.65
"25",46.9484994326033,0.8,7.37
"26",47.5384477072313,1.26,6.7
"27",47.8751770987968,0.71,5.89
"28",48.3132303403647,0.91,5.65
"29",48.6025086756945,0.6,5.84
"30",48.8109289593278,0.43,6.25
"31",48.8219575955226,0.02,6.16
"32",48.8680335623086,0.09,5.98
"33",49.0440659523066,0.36,5.97
"34",49.3182811250362,0.56,6.37
"35",49.7020986050638,0.78,7.07
"36",49.8348680285203,0.27,6.99
"37",50.42,1.17,7.39
"38",50.98,1.11,7.24
"39",51.51,1.04,7.59
"40",52.1,1.15,7.84
"41",52.36,0.5,7.73
"42",52.33,-0.06,7.21
"43",52.26,-0.13,7.04
"44",52.42,0.31,7.27
"45",52.53,0.21,7.11
"46",52.56,0.06,6.57
"47",52.75,0.36,6.13
"48",53.07,0.61,6.49
"49",53.54,0.89,6.19
"50",54.18,1.2,6.28
"51",54.71,0.98,6.21
"52",54.96,0.46,5.49
"53",55.17,0.38,5.37
"54",55.51,0.62,6.08
"55",55.49,-0.04,6.18
"56",55.51,0.04,5.89
"57",55.67,0.29,5.98
"58",55.66,-0.02,5.9
"59",55.82,0.29,5.82
"60",55.99,0.3,5.5
"61",56.45,0.82,5.44
"62",57.02,1.01,5.24
"63",57.46,0.77,5.03
"64",57.72,0.45,5.02
"65",57.95,0.4,5.04
"66",58.18,0.4,4.81
"67",58.21,0.05,4.9
"68",58.21,0,4.86
"69",58.46,0.43,5.01
"70",58.6,0.24,5.28
"71",58.66,0.1,5.09
"72",58.7,0.07,4.84
"73",59.02,0.55,4.55
"74",59.41,0.66,4.19
"75",59.83,0.71,4.12
"76",60.09,0.43,4.11
"77",60.29,0.33,4.04
"78",60.48,0.32,3.95
"79",60.73,0.41,4.33
"80",60.96,0.38,4.72
"81",61.14,0.3,4.58
"82",61.05,-0.15,4.18
"83",61.19,0.23,4.31
"84",61.33,0.23,4.48
"85",61.8,0.77,4.71
"86",62.53,1.18,5.25
"87",63.29,1.22,5.78
"88",63.85,0.88,6.26
"89",64.05,0.31,6.24
"90",64.12,0.11,6.02
"91",64.23,0.17,5.76
"92",64.14,-0.14,5.22
"93",64.2,0.09,5
"94",64.2,0,5.16
"95",64.51,0.48,5.43
"96",64.82,0.48,5.69
"97",65.51,1.06,6
"98",66.5,1.51,6.35
"99",67.04,0.81,5.93
"100",67.51,0.7,5.73
"101",68.14,0.93,6.39
"102",68.73,0.87,7.19
"103",69.06,0.48,7.52
"104",69.19,0.19,7.87
"105",69.06,-0.19,7.57
"106",69.3,0.35,7.94
"107",69.49,0.27,7.72
"108",69.8,0.45,7.68
"109",70.21,0.59,7.17
"110",70.8,0.84,6.47
"111",71.15,0.49,6.13
"112",71.38,0.32,5.73
"113",71.39,0.01,4.77
"114",71.35,-0.06,3.81
"115",71.32,-0.04,3.27
"116",71.35,0.04,3.12
"117",71.28,-0.1,3.21
"118",71.19,-0.13,2.73
"119",71.14,-0.07,2.37
"120",71.2,0.08,2.01
"121",71.69,0.69,2.11
"122",72.28,0.82,2.09
"123",72.46,0.25,1.84
"124",72.79,0.46,1.98
"125",72.87,0.11,2.07
"126",72.95,0.11,2.24
"127",72.92,-0.04,2.24
"128",73,0.11,2.31
"129",72.9,-0.14,2.27
"130",72.84,-0.08,2.32
"131",72.98,0.19,2.59
"132",73.45,0.64,3.16
"133",74.12,0.91,3.39
"134",74.57,0.61,3.17
"135",74.77,0.27,3.19
"136",74.86,0.12,2.84
"137",75.07,0.28,3.02
"138",75.31,0.32,3.24
"139",75.42,0.15,3.43
"140",75.39,-0.04,3.27
"141",75.62,0.31,3.73
"142",75.77,0.2,4.02
"143",75.87,0.13,3.96
"144",76.19,0.42,3.73
"145",76.75,0.74,3.55
"146",77.22,0.61,3.55
"147",77.31,0.12,3.4
"148",77.42,0.14,3.42
"149",77.66,0.31,3.45
"150",77.72,0.08,3.2
"151",77.7,-0.03,3.02
"152",77.73,0.04,3.1
"153",77.96,0.3,3.09
"154",78.08,0.15,3.05
"155",77.98,-0.13,2.78
"156",78.05,0.09,2.44
"157",78.28,0.29,1.99
"158",78.63,0.45,1.83
"159",78.79,0.2,1.91
"160",78.99,0.25,2.03
"161",79.21,0.28,2
"162",79.39,0.23,2.15
"163",79.43,0.05,2.23
"164",79.5,0.09,2.28
"165",79.73,0.29,2.27
"166",79.52,-0.26,1.84
"167",79.35,-0.21,1.76
"168",79.56,0.26,1.93
"169",79.95,0.49,2.13
